Category: Apartments & Residential Rentals,,
,,
Week,Geo: United States,
2004/1/4,84,1165
2004/1/11,82,1165
2004/1/18,81,1165
2004/1/25,79,1165
2004/2/1,80,1159
2004/2/8,73,1159
2004/2/15,79,1159
2004/2/22,85,1159
2004/2/29,84,1159
2004/3/7,80,1276
2004/3/14,83,1276
2004/3/21,84,1276
2004/3/28,87,1276
2004/4/4,90,1186
2004/4/11,94,1186
2004/4/18,86,1186
2004/4/25,91,1186
2004/5/2,91,1241
2004/5/9,86,1241
2004/5/16,88,1241
2004/5/23,85,1241
2004/5/30,90,1241
2004/6/6,89,1180
2004/6/13,87,1180
2004/6/20,90,1180
2004/6/27,92,1180
2004/7/4,90,1088
2004/7/11,96,1088
2004/7/18,96,1088
2004/7/25,93,1088
2004/8/1,94,1175
2004/8/8,91,1175
2004/8/15,86,1175
2004/8/22,81,1175
2004/8/29,75,1175
2004/9/5,70,1214
2004/9/12,69,1214
2004/9/19,67,1214
2004/9/26,72,1214
2004/10/3,69,1305
2004/10/10,66,1305
2004/10/17,68,1305
2004/10/24,68,1305
2004/10/31,65,1305
2004/11/7,65,1179
2004/11/14,66,1179
2004/11/21,51,1179
2004/11/28,66,1179
2004/12/5,64,1242
2004/12/12,62,1242
2004/12/19,56,1242
2004/12/26,74,1242
2005/1/2,84,1203
2005/1/9,78,1203
2005/1/16,77,1203
2005/1/23,79,1203
2005/1/30,79,1203
2005/2/6,78,1319
2005/2/13,76,1319
2005/2/20,79,1319
2005/2/27,79,1319
2005/3/6,78,1328
2005/3/13,78,1328
2005/3/20,83,1328
2005/3/27,85,1328
2005/4/3,87,1260
2005/4/10,85,1260
2005/4/17,86,1260
2005/4/24,88,1260
2005/5/1,88,1286
2005/5/8,82,1286
2005/5/15,83,1286
2005/5/22,86,1286
2005/5/29,84,1286
2005/6/5,89,1274
2005/6/12,86,1274
2005/6/19,89,1274
2005/6/26,91,1274
2005/7/3,85,1389
2005/7/10,97,1389
2005/7/17,95,1389
2005/7/24,97,1389
2005/7/31,96,1389
2005/8/7,92,1255
2005/8/14,92,1255
2005/8/21,83,1255
2005/8/28,80,1255
2005/9/4,72,1244
2005/9/11,77,1244
2005/9/18,72,1244
2005/9/25,72,1244
2005/10/2,73,1336
2005/10/9,70,1336
2005/10/16,68,1336
2005/10/23,67,1336
2005/10/30,75,1336
2005/11/6,73,1214
2005/11/13,72,1214
2005/11/20,65,1214
2005/11/27,85,1214
2005/12/4,80,1239
2005/12/11,68,1239
2005/12/18,62,1239
2005/12/25,74,1239
2006/1/1,85,1174
2006/1/8,82,1174
2006/1/15,82,1174
2006/1/22,80,1174
2006/1/29,82,1174
2006/2/5,78,1061
2006/2/12,74,1061
2006/2/19,81,1061
2006/2/26,86,1061
2006/3/5,82,1116
2006/3/12,80,1116
2006/3/19,86,1116
2006/3/26,86,1116
2006/4/2,89,1123
2006/4/9,90,1123
2006/4/16,91,1123
2006/4/23,90,1123
2006/4/30,96,1123
2006/5/7,88,1086
2006/5/14,84,1086
2006/5/21,83,1086
2006/5/28,83,1086
2006/6/4,90,1074
2006/6/11,89,1074
2006/6/18,89,1074
2006/6/25,90,1074
2006/7/2,87,965
2006/7/9,100,965
2006/7/16,97,965
2006/7/23,98,965
2006/7/30,98,965
2006/8/6,96,1035
2006/8/13,91,1035
2006/8/20,86,1035
2006/8/27,79,1035
2006/9/3,72,1016
2006/9/10,74,1016
2006/9/17,71,1016
2006/9/24,69,1016
2006/10/1,68,941
2006/10/8,66,941
2006/10/15,66,941
2006/10/22,67,941
2006/10/29,65,941
2006/11/5,64,1003
2006/11/12,64,1003
2006/11/19,48,1003
2006/11/26,65,1003
2006/12/3,64,998
2006/12/10,60,998
2006/12/17,55,998
2006/12/24,63,998
2006/12/31,75,998
2007/1/7,75,891
2007/1/14,74,891
2007/1/21,74,891
2007/1/28,74,891
2007/2/4,74,828
2007/2/11,69,828
2007/2/18,75,828
2007/2/25,78,828
2007/3/4,76,833
2007/3/11,74,833
2007/3/18,75,833
2007/3/25,80,833
2007/4/1,83,887
2007/4/8,84,887
