Date,Seasonally_adjusted_annual_rate,Apartments_Residential_Rentals,Commercial_Investment_Real_Estate,Property_Development,Property_Inspections_Appraisals,Property_Management,Real_Estate_Agencies,Real_Estate_Listings,Timeshares_Vacation_Properties,last_sixmonth_num
2004/1/1,1165,84,98,100,87,97,85,88,99,1168
2004/2/1,1159,84,100,94,93,91,95,87,93,1206
2004/3/1,1276,87,91,96,89,91,91,92,88,1131
2004/4/1,1186,93,94,95,97,90,100,93,83,1144
2004/5/1,1241,91,84,91,89,85,86,89,87,1093
2004/6/1,1180,91,94,85,96,98,96,92,96,1129
2004/7/1,1088,98,93,93,91,100,94,96,100,1165
2004/8/1,1175,91,97,90,96,97,92,97,91,1159
2004/9/1,1214,72,89,90,87,86,89,80,72,1276
2004/10/1,1305,67,84,84,81,82,77,75,63,1186
2004/11/1,1179,67,83,77,81,80,67,70,63,1241
2004/12/1,1242,68,78,76,74,69,66,69,68,1180
2005/1/1,1203,83,90,90,85,87,81,89,97,1088
2005/2/1,1319,83,94,96,88,88,79,91,89,1175
2005/3/1,1328,86,94,90,89,86,84,91,85,1214
2005/4/1,1260,90,90,87,92,86,77,92,77,1305
2005/5/1,1286,88,86,87,87,82,79,93,78,1179
2005/6/1,1274,90,91,82,90,90,81,95,88,1242
2005/7/1,1389,92,89,87,91,93,86,100,91,1203
2005/8/1,1255,93,89,85,94,96,85,98,84,1319
2005/9/1,1244,77,77,74,86,93,71,84,63,1328
2005/10/1,1336,72,80,75,83,81,69,78,64,1260
2005/11/1,1214,78,79,73,76,75,62,72,58,1286
2005/12/1,1239,72,71,69,70,73,61,70,65,1274
2006/1/1,1174,83,86,87,85,81,74,91,88,1389
2006/2/1,1061,84,86,88,100,82,75,94,82,1255
2006/3/1,1116,85,83,83,94,81,78,93,79,1244
2006/4/1,1123,93,80,81,93,78,78,94,73,1336
2006/5/1,1086,88,79,76,92,80,74,90,74,1214
2006/6/1,1074,95,84,72,95,86,77,91,84,1239
2006/7/1,965,98,81,72,90,88,80,96,91,1174
2006/8/1,1035,91,86,77,94,89,81,93,80,1061
2006/9/1,1016,74,76,73,83,78,69,83,64,1116
2006/10/1,941,68,76,67,81,76,65,76,59,1123
2006/11/1,1003,63,69,61,72,66,60,67,56,1086
2006/12/1,998,62,66,61,67,65,58,68,59,1074
2007/1/1,891,79,78,72,80,76,68,86,85,965
