Time,Not seasonally adjusted,Seasonally adjusted annual rate,Rentals(1),Agencies(2)
3-Jan,76,999,,
3-Feb,82,936,,
3-Mar,98,999,,
3-Apr,91,1012,,
3-May,101,1078,,
3-Jun,107,1193,,
3-Jul,99,1168,,
3-Aug,105,1206,,
3-Sep,90,1131,,
3-Oct,88,1144,,
3-Nov,76,1093,,
3-Dec,75,1129,,
4-Jan,89,1165,84,76
4-Feb,102,1159,80,70
4-Mar,123,1276,80,73
4-Apr,109,1186,90,100
4-May,115,1241,91,69
4-Jun,105,1180,89,79
4-Jul,96,1088,90,80
4-Aug,102,1175,94,76
4-Sep,94,1214,70,93
4-Oct,101,1305,69,61
4-Nov,84,1179,65,60
4-Dec,83,1242,64,59
5-Jan,92,1203,84,69
5-Feb,109,1319,78,65
5-Mar,127,1328,78,64
5-Apr,116,1260,87,68
5-May,120,1286,88,64
5-Jun,115,1274,89,63
5-Jul,117,1389,85,77
5-Aug,110,1255,92,76
5-Sep,99,1244,72,60
5-Oct,105,1336,73,57
5-Nov,86,1214,73,55
5-Dec,87,1239,80,49
6-Jan,89,1174,85,65
6-Feb,88,1061,78,60
6-Mar,108,1116,82,61
6-Apr,100,1123,89,66
6-May,102,1086,88,64
6-Jun,98,1074,90,62
6-Jul,83,965,87,74
6-Aug,88,1035,96,67
6-Sep,80,1016,72,57
6-Oct,74,941,68,55
6-Nov,71,1003,64,50
6-Dec,71,998,64,47
7-Jan,66,891,75,54
7-Feb,68,828,74,55
7-Mar,80,833,76,59
7-Apr,83,887,83,61
7-May,79,842,79,59
7-Jun,73,793,82,54
7-Jul,68,778,79,60
7-Aug,60,699,84,58
7-Sep,53,686,68,48
7-Oct,57,727,64,47
7-Nov,45,641,60,43
7-Dec,44,619,58,39
8-Jan,44,627,73,48
8-Feb,48,593,68,49
8-Mar,49,535,70,47
8-Apr,49,536,72,47
8-May,49,504,72,45
8-Jun,45,487,73,46
8-Jul,43,477,73,46
8-Aug,38,435,75,47
8-Sep,35,433,57,40
8-Oct,32,393,56,36
8-Nov,27,389,49,36
8-Dec,26,377,50,32
