Time,Median Sales Price,Average Sales Price
3-Jan,181700,230200
3-Feb,187000,233400
3-Mar,185100,231100
3-Apr,189500,237200
3-May,195500,243700
3-Jun,187900,239700
3-Jul,190200,248400
3-Aug,190500,241000
3-Sep,192000,254500
3-Oct,194100,242800
3-Nov,207100,268300
3-Dec,196000,253900
4-Jan,209500,262100
4-Feb,219600,264100
4-Mar,209600,261000
4-Apr,222300,269300
4-May,211700,260400
4-Jun,215700,263200
4-Jul,212400,279200
4-Aug,218100,272200
4-Sep,211600,269200
4-Oct,229200,289600
4-Nov,224500,283200
4-Dec,229600,284300
5-Jan,223100,283000
5-Feb,237300,289100
5-Mar,229300,289600
5-Apr,236300,289100
5-May,228300,287400
5-Jun,226100,279600
5-Jul,229200,289300
5-Aug,240100,295000
5-Sep,240400,299600
5-Oct,243900,293600
5-Nov,237900,294400
5-Dec,238600,290200
6-Jan,244900,301000
6-Feb,250800,307900
6-Mar,238800,298800
6-Apr,257000,310300
6-May,238200,293900
6-Jun,243200,305000
6-Jul,238100,311300
6-Aug,243900,317300
6-Sep,226700,296200
6-Oct,250400,306800
6-Nov,240100,291800
6-Dec,244700,301900
7-Jan,254400,314600
7-Feb,250800,321500
7-Mar,262600,329400
7-Apr,242500,311700
7-May,245000,309700
7-Jun,235500,306500
7-Jul,246200,307100
7-Aug,236500,301300
7-Sep,240300,292200
7-Oct,234300,310100
7-Nov,249100,316800
7-Dec,227700,284400
8-Jan,232400,284600
8-Feb,245300,301200
8-Mar,229300,287600
8-Apr,246400,314300
8-May,229300,298200
8-Jun,234300,299400
8-Jul,237300,301900
8-Aug,221000,265500
8-Sep,225200,287100
8-Oct,213200,274000
8-Nov,221600,290100
8-Dec,229600,263100
9-Jan,208600,245200
9-Feb,209700,258600
9-Mar,205100,259800
9-Apr,219200,269800
9-May,222300,274600
9-Jun,214700,274800
9-Jul,214200,271100
9-Aug,207100,257800
9-Sep,216600,290300
9-Oct,215100,263800
9-Nov,218800,274700
9-Dec,222600,278300
10-Jan,218200,283400
10-Feb,221900,284100
10-Mar,224800,262900
10-Apr,208300,270500
10-May,230500,281100
10-Jun,219500,256700
10-Jul,212100,252100
10-Aug,226600,268800
10-Sep,228000,270800
10-Oct,204200,254400
10-Nov,219600,281700
10-Dec,241200,291700
11-Jan,240100,275700
11-Feb,220100,262800
11-Mar,220500,260800
11-Apr,224700,268900
11-May,222000,262700
11-Jun,240200,273100
11-Jul,229900,270300
11-Aug,219600,259300
11-Sep,217000,255400
11-Oct,224800,258300
11-Nov,214300,250000
11-Dec,218600,262900
12-Jan,221700,265700
12-Feb,239900,274000
12-Mar,239800,283600
12-Apr,236400,287900
12-May,239200,280900
12-Jun,232600,271800
12-Jul,237400,282300
12-Aug,253200,305500
12-Sep,254600,297700
12-Oct,247200,285400
12-Nov,245000,290700
12-Dec,258300,299200
13-Jan,251500,306900
13-Feb,265100,312500
13-Mar,257500,300200
13-Apr,279300,337000
13-May,263700,314000
13-Jun,259800,306100
13-Jul,262200,329900
13-Aug,255300,310800
13-Sep,269800,321400
13-Oct,264300,335700
13-Nov,277100,335600
13-Dec,275500,321200
14-Jan,269800,337300
14-Feb,268400,325900
14-Mar,282300,331500
14-Apr,274500,325100
14-May,285600,323500
14-Jun,287000,338100
14-Jul,280400,345200
14-Aug,291700,356200
14-Sep,261500,319100
14-Oct,297000,377500
14-Nov,298300,348900
14-Dec,301500,373200
15-Jan,292000,348300
15-Feb,286600,346300
15-Mar,286600,349300
15-Apr,294500,340400
15-May,287500,336200
15-Jun,285100,326900
15-Jul,292300,341200
15-Aug,293000,343300
15-Sep,299500,357200
15-Oct,298000,368900
15-Nov,312600,373200
15-Dec,297100,352500
16-Jan,288400,361200
16-Feb,305800,341700
16-Mar,303200,359000
16-Apr,318300,369300
16-May,295200,349700
16-Jun,311200,357800
16-Jul,297400,353000
16-Aug,298900,355100
16-Sep,314800,366100
16-Oct,302800,352200
16-Nov,315000,363400
16-Dec,327000,382500
17-Jan,315200,357700
17-Feb,298000,370500
17-Mar,321700,384400
17-Apr,311100,365800
17-May,323600,378400
17-Jun,315200,370600
17-Jul,322900,372400
17-Aug,314200,369200
17-Sep,328500,377900
17-Oct,319600,394700
17-Nov,318700,377100
